date,hospital_id,Hospital name,Location,total_number_of_beds,total_admissions,baseline_admissions,surge_multiplier,is_surge,surge_severity,surge_reasons,respiratory_admissions,waterborne_admissions,heat_related_admissions,trauma_admissions,other_admissions,avg_aqi,temperature_c,rainfall_mm,active_events
2019-04-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,221,221,1.0,False,None,None,33,22,11,44,111,106,30.6,0.0,None
2019-04-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,307,307,1.0,False,None,None,46,30,15,61,155,121,30.1,0.0,None
2019-04-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,310,310,1.0,False,None,None,46,31,15,62,156,141,31.9,0.0,None
2019-04-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,322,322,1.0,False,None,None,48,32,16,64,162,103,31.4,0.0,None
2019-04-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,280,280,1.0,False,None,None,42,28,14,56,140,101,30.9,0.0,None
2019-04-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,187,187,1.0,False,None,None,28,18,9,37,95,137,31.4,0.0,None
2019-04-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,209,209,1.0,False,None,None,31,20,10,41,107,134,31.7,0.0,None
2019-04-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,240,240,1.0,False,None,None,36,24,12,48,120,139,31.5,0.0,None
2019-04-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,257,257,1.0,False,None,None,38,25,12,51,131,123,31.1,0.0,None
2019-04-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,321,321,1.0,False,None,None,48,32,16,64,161,126,31.4,0.0,None
2019-04-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,282,282,1.0,False,None,None,42,28,14,56,142,163,31.5,0.0,None
2019-04-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,316,264,1.2,True,Minor,Poor AQI,92,26,13,52,133,209,32.3,0.0,None
2019-04-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,107,34.0,0.0,None
2019-04-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,239,239,1.0,False,None,None,35,23,11,47,123,142,34.5,0.0,None
2019-04-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,306,306,1.0,False,None,None,39,26,53,53,135,126,35.5,0.0,None
2019-04-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,224,224,1.0,False,None,None,33,22,11,44,114,93,31.6,0.0,None
2019-04-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,246,246,1.0,False,None,None,36,24,12,49,125,145,30.8,0.2,None
2019-04-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,269,269,1.0,False,None,None,40,26,13,53,137,119,31.2,0.0,None
2019-04-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,326,326,1.0,False,None,None,48,32,16,65,165,122,33.8,0.0,None
2019-04-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,231,231,1.0,False,None,None,34,23,11,46,117,120,32.3,0.0,None
2019-04-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,191,191,1.0,False,None,None,28,19,9,38,97,131,31.9,0.0,None
2019-04-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,326,326,1.0,False,None,None,48,32,16,65,165,144,32.1,0.0,None
2019-04-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,282,282,1.0,False,None,None,42,28,14,56,142,91,32.7,0.0,None
2019-04-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,259,259,1.0,False,None,None,38,25,12,51,133,137,32.3,0.0,None
2019-04-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,314,314,1.0,False,None,None,47,31,15,62,159,109,32.7,0.0,None
2019-04-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,263,263,1.0,False,None,None,39,26,13,52,133,158,33.9,0.0,None
2019-04-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,248,1.0,False,None,None,32,21,43,43,109,135,35.4,0.0,None
2019-04-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,223,223,1.0,False,None,None,29,19,38,38,99,153,35.3,0.0,None
2019-04-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,258,258,1.0,False,None,None,38,25,12,51,132,147,31.9,0.0,None
2019-04-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,297,297,1.0,False,None,None,44,29,14,59,151,155,31.7,0.0,None
2019-05-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,261,261,1.0,False,None,None,39,26,13,52,131,130,31.2,0.0,None
2019-05-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,231,231,1.0,False,None,None,34,23,11,46,117,96,30.9,0.0,None
2019-05-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,267,267,1.0,False,None,None,40,26,13,53,135,93,30.9,0.0,None
2019-05-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,177,177,1.0,False,None,None,26,17,8,35,91,114,31.4,0.8,None
2019-05-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,222,222,1.0,False,None,None,33,22,11,44,112,134,31.5,0.0,None
2019-05-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,288,288,1.0,False,None,None,43,28,14,57,146,117,32.1,0.0,None
2019-05-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,230,230,1.0,False,None,None,34,23,11,46,116,139,31.5,0.0,None
2019-05-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,276,276,1.0,False,None,None,41,27,13,55,140,125,31.7,0.1,None
2019-05-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,205,205,1.0,False,None,None,30,20,10,41,104,156,31.5,0.0,None
2019-05-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,205,205,1.0,False,None,None,30,20,10,41,104,111,31.8,0.0,None
2019-05-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,235,235,1.0,False,None,None,35,23,11,47,119,135,31.9,0.0,None
2019-05-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,180,180,1.0,False,None,None,27,18,9,36,90,178,31.6,0.0,None
2019-05-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,287,287,1.0,False,None,None,43,28,14,57,145,140,31.9,0.0,None
2019-05-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,271,271,1.0,False,None,None,40,27,13,54,137,118,32.0,0.0,None
2019-05-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,280,280,1.0,False,None,None,42,28,14,56,140,100,32.8,0.0,None
2019-05-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,214,214,1.0,False,None,None,32,21,10,42,109,131,32.3,0.0,None
2019-05-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,266,266,1.0,False,None,None,39,26,13,53,135,102,32.5,0.0,None
2019-05-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,171,171,1.0,False,None,None,25,17,8,34,87,113,33.1,0.0,None
2019-05-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,174,174,1.0,False,None,None,26,17,8,34,89,122,33.5,0.0,None
2019-05-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,224,224,1.0,False,None,None,33,22,11,44,114,121,33.4,0.0,None
2019-05-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,217,217,1.0,False,None,None,32,21,10,43,111,71,33.7,0.0,None
2019-05-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,209,209,1.0,False,None,None,31,20,10,41,107,80,32.6,0.0,None
2019-05-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,134,32.6,0.0,None
2019-05-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,222,222,1.0,False,None,None,33,22,11,44,112,80,33.1,0.0,None
2019-05-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,219,219,1.0,False,None,None,32,21,10,43,113,98,32.6,0.0,None
2019-05-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,233,233,1.0,False,None,None,34,23,11,46,119,126,32.5,0.0,None
2019-05-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,57,33.1,0.0,None
2019-05-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,294,294,1.0,False,None,None,44,29,14,58,149,89,32.8,0.0,None
2019-05-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,259,259,1.0,False,None,None,38,25,12,51,133,99,32.5,0.0,None
2019-05-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,247,247,1.0,False,None,None,37,24,12,49,125,136,32.7,0.0,None
2019-05-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,293,293,1.0,False,None,None,43,29,14,58,149,73,32.5,0.0,None
2019-06-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,204,204,1.0,False,None,None,30,20,10,40,104,36,32.9,0.1,None
2019-06-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,246,246,1.0,False,None,None,36,24,12,49,125,60,32.9,0.0,None
2019-06-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,315,315,1.0,False,None,None,47,31,15,63,159,45,32.8,0.0,None
2019-06-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,334,334,1.0,False,None,None,50,33,16,66,169,89,32.6,0.7,None
2019-06-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,332,332,1.0,False,None,None,49,33,16,66,168,71,32.8,0.3,None
2019-06-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,329,329,1.0,False,None,None,49,32,16,65,167,57,33.2,0.0,None
2019-06-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,302,302,1.0,False,None,None,45,30,15,60,152,63,33.0,0.3,None
2019-06-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,224,224,1.0,False,None,None,33,22,11,44,114,69,33.8,0.1,None
2019-06-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,273,273,1.0,False,None,None,40,27,13,54,139,67,33.3,0.3,None
2019-06-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,283,283,1.0,False,None,None,42,28,14,56,143,101,32.1,1.1,None
2019-06-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,323,323,1.0,False,None,None,48,32,16,64,163,59,33.9,1.6,None
2019-06-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,33,67,11,44,113,58,30.3,20.3,None
2019-06-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,321,321,1.0,False,None,None,48,32,16,64,161,51,29.2,12.9,None
2019-06-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,316,316,1.0,False,None,None,47,31,15,63,160,42,29.3,11.1,None
2019-06-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,229,229,1.0,False,None,None,34,22,11,45,117,84,28.9,11.7,None
2019-06-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,219,219,1.0,False,None,None,32,21,10,43,113,80,29.4,5.6,None
2019-06-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,243,243,1.0,False,None,None,36,24,12,48,123,56,29.1,4.7,None
2019-06-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,284,284,1.0,False,None,None,42,28,14,56,144,38,29.1,9.1,None
2019-06-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,294,294,1.0,False,None,None,44,29,14,58,149,24,29.6,7.8,None
2019-06-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,235,235,1.0,False,None,None,35,23,11,47,119,42,30.4,1.9,None
2019-06-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,237,237,1.0,False,None,None,35,23,11,47,121,58,29.6,1.3,None
2019-06-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,254,254,1.0,False,None,None,38,25,12,50,129,58,30.2,1.4,None
2019-06-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,256,256,1.0,False,None,None,38,25,12,51,130,24,29.7,2.5,None
2019-06-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,293,293,1.0,False,None,None,43,29,14,58,149,95,28.8,5.8,None
2019-06-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,296,296,1.0,False,None,None,44,29,14,59,150,22,29.8,9.0,None
2019-06-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,302,302,1.0,False,None,None,45,30,15,60,152,59,29.8,15.3,None
2019-06-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,271,271,1.0,False,None,None,33,67,11,45,115,61,28.9,24.1,None
2019-06-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,439,338,1.3,True,Moderate,Heavy Rainfall,54,109,18,73,185,85,28.8,73.1,None
2019-06-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,327,252,1.3,True,Moderate,Heavy Rainfall,40,81,13,54,139,78,27.7,73.6,None
2019-06-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,218,218,1.0,False,None,None,27,54,9,36,92,76,27.0,33.4,None
2019-07-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,30,60,10,40,102,44,26.9,36.6,None
2019-07-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,230,230,1.0,False,None,None,28,57,9,38,98,76,28.3,26.3,None
2019-07-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,241,1.0,False,None,None,36,24,12,48,121,35,27.5,15.2,None
2019-07-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,288,288,1.0,False,None,None,35,72,12,48,121,47,27.8,21.5,None
2019-07-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,249,249,1.0,False,None,None,37,24,12,49,127,60,27.9,15.9,None
2019-07-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,221,221,1.0,False,None,None,27,55,9,36,94,32,27.3,20.2,None
2019-07-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,226,226,1.0,False,None,None,33,22,11,45,115,78,27.8,19.6,None
2019-07-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,248,1.0,False,None,None,37,24,12,49,126,64,28.1,15.3,None
