date,hospital_id,opd_count,ipd_count,icu_count,occupied_beds,energy_kwh,diesel_liters,bmw_kg,staff_on_duty
01-05-2022,NAIR,37998,5712,79,1333,333250,3332,15996,930
01-06-2022,NAIR,44642,5610,78,1309,327250,3272,15708,958
01-07-2022,NAIR,38100,5802,81,1354,338500,3385,16248,952
01-08-2022,NAIR,42649,6257,87,1460,365000,3650,17520,1052
01-09-2022,NAIR,41560,5802,81,1354,338500,3385,16248,1154
01-10-2022,NAIR,40052,5708,79,1332,333000,3330,15984,812
01-11-2022,NAIR,48309,5494,76,1282,320500,3205,15384,1029
01-12-2022,NAIR,43822,5952,83,1389,347250,3472,16668,1338
01-01-2023,NAIR,38438,5798,81,1353,338250,3382,16236,883
01-02-2023,NAIR,36455,5661,79,1321,330250,3302,15852,889
01-03-2023,NAIR,46246,6197,86,1446,361500,3615,17352,999
01-04-2023,NAIR,38839,5841,81,1363,340750,3407,16356,1039
01-05-2023,NAIR,41691,5601,78,1307,326750,3267,15684,764
01-06-2023,NAIR,50615,6030,84,1407,351750,3517,16884,987
01-07-2023,NAIR,40429,5682,79,1326,331500,3315,15912,956
01-08-2023,NAIR,38968,5837,81,1362,340500,3405,16344,1084
01-09-2023,NAIR,38642,5772,80,1347,336750,3367,16164,1046
01-10-2023,NAIR,38345,5935,83,1385,346250,3462,16620,1001
01-11-2023,NAIR,44809,5460,76,1274,318500,3185,15288,894
01-12-2023,NAIR,34829,5661,79,1321,330250,3302,15852,864
01-01-2024,NAIR,38656,5884,82,1373,343250,3432,16476,974
01-02-2024,NAIR,37353,5811,81,1356,339000,3390,16272,954
01-03-2024,NAIR,40865,5640,78,1316,329000,3290,15792,930
01-04-2024,NAIR,37698,6008,84,1402,350500,3505,16824,1023
01-05-2024,NAIR,39113,5284,73,1233,308250,3082,14796,888
01-06-2024,NAIR,39933,5905,82,1378,344500,3445,16536,1069
01-07-2024,NAIR,43581,6081,85,1419,354750,3547,17028,1093
01-08-2024,NAIR,40661,5721,80,1335,333750,3337,16020,1063
01-09-2024,NAIR,51320,5888,82,1374,343500,3435,16488,1124
01-10-2024,NAIR,40765,6090,85,1421,355250,3552,17052,771
01-11-2024,NAIR,41006,5417,75,1264,316000,3160,15168,992
01-12-2024,NAIR,41568,5897,82,1376,344000,3440,16512,959
01-01-2019,JJ,40390,5185,72,1210,302500,3025,14520,831
01-02-2019,JJ,35942,5207,72,1215,303750,3037,14580,1045
01-03-2019,JJ,38430,5177,72,1208,302000,3020,14496,736
01-04-2019,JJ,34289,5301,74,1237,309250,3092,14844,793
01-05-2019,JJ,38751,5232,73,1221,305250,3052,14652,847
01-06-2019,JJ,33829,5087,71,1187,296750,2967,14244,916
01-07-2019,JJ,34041,5288,74,1234,308500,3085,14808,1086
01-08-2019,JJ,44537,5220,73,1218,304500,3045,14616,831
01-09-2019,JJ,43110,4795,67,1119,279750,2797,13428,949
01-10-2019,JJ,33279,5194,72,1212,303000,3030,14544,1012
01-11-2019,JJ,40221,5160,72,1204,301000,3010,14448,880
01-12-2019,JJ,39268,4988,69,1164,291000,2910,13968,1073
01-01-2020,JJ,35582,5447,76,1271,317750,3177,15252,837
01-02-2020,JJ,41603,5151,72,1202,300500,3005,14424,826
01-03-2020,JJ,35899,5108,71,1192,298000,2980,14304,668
01-04-2020,JJ,37774,5301,74,1237,309250,3092,14844,982
01-05-2020,JJ,43758,5074,71,1184,296000,2960,14208,1037
01-06-2020,JJ,36477,5091,71,1188,297000,2970,14256,875
01-07-2020,JJ,40110,5095,71,1189,297250,2972,14268,1350
01-08-2020,JJ,33350,5087,71,1187,296750,2967,14244,1350
01-09-2020,JJ,37409,5142,72,1200,300000,3000,14400,1135
01-10-2020,JJ,35449,5031,70,1174,293500,2935,14088,964
01-11-2020,JJ,37899,5001,70,1167,291750,2917,14004,1043
01-12-2020,JJ,41593,4628,64,1080,270000,2700,12960,995
01-01-2021,JJ,36107,5074,71,1184,296000,2960,14208,751
01-02-2021,JJ,44071,4928,69,1150,287500,2875,13800,992
01-03-2021,JJ,33266,5280,73,1232,308000,3080,14784,791
01-04-2021,JJ,40173,4907,68,1145,286250,2862,13740,971
01-05-2021,JJ,39165,5275,73,1231,307750,3077,14772,1076
01-06-2021,JJ,39809,4932,69,1151,287750,2877,13812,1230
01-07-2021,JJ,32808,5202,72,1214,303500,3035,14568,1003
01-08-2021,JJ,41433,5040,70,1176,294000,2940,14112,814
01-09-2021,JJ,39772,4838,67,1129,282250,2822,13548,887
01-10-2021,JJ,43861,4740,66,1106,276500,2765,13272,813
01-11-2021,JJ,38996,5035,70,1175,293750,2937,14100,871
01-12-2021,JJ,38063,5164,72,1205,301250,3012,14460,861
01-01-2022,JJ,31086,5198,72,1213,303250,3032,14556,826
01-02-2022,JJ,36810,5172,72,1207,301750,3017,14484,907
01-03-2022,JJ,34581,5035,70,1175,293750,2937,14100,760
01-04-2022,JJ,31115,5220,73,1218,304500,3045,14616,888
01-05-2022,JJ,41185,5190,72,1211,302750,3027,14532,951
01-06-2022,JJ,32701,4787,67,1117,279250,2792,13404,860
01-07-2022,JJ,34778,5241,73,1223,305750,3057,14676,925
01-08-2022,JJ,32225,5022,70,1172,293000,2930,14064,800
01-09-2022,JJ,41451,4954,69,1156,289000,2890,13872,962
01-10-2022,JJ,38193,5237,73,1222,305500,3055,14664,814
01-11-2022,JJ,37957,5031,70,1174,293500,2935,14088,992
01-12-2022,JJ,34863,5361,75,1251,312750,3127,15012,984
01-01-2023,JJ,44296,5018,70,1171,292750,2927,14052,900
01-02-2023,JJ,41147,5262,73,1228,307000,3070,14736,869
01-03-2023,JJ,36571,5001,70,1167,291750,2917,14004,803
01-04-2023,JJ,32492,5172,72,1207,301750,3017,14484,847
01-05-2023,JJ,41552,5250,73,1225,306250,3062,14700,877
01-06-2023,JJ,31271,5125,71,1196,299000,2990,14352,978
01-07-2023,JJ,32712,5194,72,1212,303000,3030,14544,906
01-08-2023,JJ,40055,5134,71,1198,299500,2995,14376,940
01-09-2023,JJ,35564,5322,74,1242,310500,3105,14904,939
01-10-2023,JJ,36340,5057,70,1180,295000,2950,14160,824
01-11-2023,JJ,34145,5382,75,1256,314000,3140,15072,826
01-12-2023,JJ,38237,5421,75,1265,316250,3162,15180,914
01-01-2024,JJ,40836,5194,72,1212,303000,3030,14544,945
01-02-2024,JJ,42785,5040,70,1176,294000,2940,14112,1021
01-03-2024,JJ,42950,5052,70,1179,294750,2947,14148,864
01-04-2024,JJ,36443,5061,70,1181,295250,2952,14172,671
01-05-2024,JJ,34620,4945,69,1154,288500,2885,13848,786
01-06-2024,JJ,33756,5438,76,1269,317250,3172,15228,1030
01-07-2024,JJ,40030,5130,71,1197,299250,2992,14364,868
01-08-2024,JJ,39346,5172,72,1207,301750,3017,14484,1080
01-09-2024,JJ,35508,5018,70,1171,292750,2927,14052,855
01-10-2024,JJ,41958,5018,70,1171,292750,2927,14052,894
01-11-2024,JJ,39267,4980,69,1162,290500,2905,13944,812
01-12-2024,JJ,31815,5181,72,1209,302250,3022,14508,1091
01-01-2019,SION,17302,3655,36,731,160820,1462,8041,522
01-02-2019,SION,21618,3845,38,769,169180,1538,8459,488
01-03-2019,SION,16684,3540,35,708,155760,1416,7788,482
01-04-2019,SION,18402,3670,36,734,161480,1468,8074,477
01-05-2019,SION,17044,4125,41,825,181500,1650,9075,484
01-06-2019,SION,21324,3850,38,770,169400,1540,8470,560
01-07-2019,SION,19995,3835,38,767,168740,1534,8437,594
01-08-2019,SION,20104,3910,39,782,172040,1564,8602,630
01-09-2019,SION,18264,3720,37,744,163680,1488,8184,563
01-10-2019,SION,17291,3805,38,761,167420,1522,8371,516
01-11-2019,SION,18083,3775,37,755,166100,1510,8305,445
01-12-2019,SION,21893,3845,38,769,169180,1538,8459,508
01-01-2020,SION,20839,3785,37,757,166540,1514,8327,514
01-02-2020,SION,18335,3840,38,768,168960,1536,8448,501
01-03-2020,SION,16152,3910,39,782,172040,1564,8602,454
01-04-2020,SION,15258,3925,39,785,172700,1570,8635,659
01-05-2020,SION,17881,3980,39,796,175120,1592,8756,712
01-06-2020,SION,14042,3530,35,706,155320,1412,7766,632
01-07-2020,SION,19275,3595,35,719,158180,1438,7909,626
01-08-2020,SION,19570,3555,35,711,156420,1422,7821,658
01-09-2020,SION,16073,4025,40,805,177100,1610,8855,567
01-10-2020,SION,18438,3740,37,748,164560,1496,8228,574
01-11-2020,SION,20598,3560,35,712,156640,1424,7832,589
01-12-2020,SION,18822,3800,38,760,167200,1520,8360,657
01-01-2021,SION,20392,3845,38,769,169180,1538,8459,542
01-02-2021,SION,20592,3735,37,747,164340,1494,8217,524
01-03-2021,SION,15424,3740,37,748,164560,1496,8228,444
01-04-2021,SION,16825,3875,38,775,170500,1550,8525,526
01-05-2021,SION,13637,3680,36,736,161920,1472,8096,532
01-06-2021,SION,18765,3865,38,773,170060,1546,8503,653
01-07-2021,SION,15914,3745,37,749,164780,1498,8239,628
01-08-2021,SION,18048,3715,37,743,163460,1486,8173,488
01-09-2021,SION,16772,3710,37,742,163240,1484,8162,485
01-10-2021,SION,19153,4015,40,803,176660,1606,8833,488
01-11-2021,SION,19664,3955,39,791,174020,1582,8701,479
01-12-2021,SION,18708,3850,38,770,169400,1540,8470,570
01-01-2022,SION,17036,3905,39,781,171820,1562,8591,580
01-02-2022,SION,16759,4060,40,812,178640,1624,8932,609
01-03-2022,SION,17129,3650,36,730,160600,1460,8030,448
01-04-2022,SION,16967,3825,38,765,168300,1530,8415,509
01-05-2022,SION,18785,4005,40,801,176220,1602,8811,476
01-06-2022,SION,16158,3840,38,768,168960,1536,8448,488
01-07-2022,SION,19164,3805,38,761,167420,1522,8371,562
01-08-2022,SION,15364,3565,35,713,156860,1426,7843,562
01-09-2022,SION,17174,4000,40,800,176000,1600,8800,602
01-10-2022,SION,19590,3720,37,744,163680,1488,8184,463
01-11-2022,SION,20484,3970,39,794,174680,1588,8734,479
01-12-2022,SION,18469,3820,38,764,168080,1528,8404,474
01-01-2023,SION,20110,3745,37,749,164780,1498,8239,521
01-02-2023,SION,12872,3865,38,773,170060,1546,8503,515
01-03-2023,SION,15984,3695,36,739,162580,1478,8129,429
01-04-2023,SION,18623,3675,36,735,161700,1470,8085,460
01-05-2023,SION,15690,3760,37,752,165440,1504,8272,481
01-06-2023,SION,17229,3515,35,703,154660,1406,7733,608
01-07-2023,SION,17371,3695,36,739,162580,1478,8129,574
01-08-2023,SION,18774,3805,38,761,167420,1522,8371,593
01-09-2023,SION,17646,3710,37,742,163240,1484,8162,531
01-10-2023,SION,18093,3855,38,771,169620,1542,8481,513
01-11-2023,SION,14403,3760,37,752,165440,1504,8272,525
01-12-2023,SION,12786,3895,38,779,171380,1558,8569,601
01-01-2024,SION,16128,3915,39,783,172260,1566,8613,517
01-02-2024,SION,21445,3655,36,731,160820,1462,8041,500
01-03-2024,SION,18892,3880,38,776,170720,1552,8536,478
01-04-2024,SION,17896,4110,41,822,180840,1644,9042,511
01-05-2024,SION,20136,3915,39,783,172260,1566,8613,462
01-06-2024,SION,15936,3995,39,799,175780,1598,8789,547
01-07-2024,SION,18591,3740,37,748,164560,1496,8228,562
01-08-2024,SION,18816,3990,39,798,175560,1596,8778,570
01-09-2024,SION,15790,3925,39,785,172700,1570,8635,597
01-10-2024,SION,20476,3705,37,741,163020,1482,8151,474
01-11-2024,SION,18028,3720,37,744,163680,1488,8184,405
01-12-2024,SION,16475,3985,39,797,175340,1594,8767,431
01-01-2019,HINDUJA,10932,2555,25,511,112420,1022,5621,418
01-02-2019,HINDUJA,15438,2550,25,510,112200,1020,5610,372
01-03-2019,HINDUJA,15486,2360,23,472,103840,944,5192,247
01-04-2019,HINDUJA,15674,2730,27,546,120120,1092,6006,372
01-05-2019,HINDUJA,13675,2685,26,537,118140,1074,5907,347
01-06-2019,HINDUJA,12521,2635,26,527,115940,1054,5797,349
01-07-2019,HINDUJA,12476,2445,24,489,107580,978,5379,316
01-08-2019,HINDUJA,14353,2640,26,528,116160,1056,5808,373
01-09-2019,HINDUJA,13785,2520,25,504,110880,1008,5544,336
01-10-2019,HINDUJA,11379,2680,26,536,117920,1072,5896,320
01-11-2019,HINDUJA,13002,2560,25,512,112640,1024,5632,296
01-12-2019,HINDUJA,13296,2620,26,524,115280,1048,5764,387
01-01-2020,HINDUJA,12058,2635,26,527,115940,1054,5797,370
01-02-2020,HINDUJA,12651,2630,26,526,115720,1052,5786,325
01-03-2020,HINDUJA,14804,2475,24,495,108900,990,5445,270
01-04-2020,HINDUJA,13727,2545,25,509,111980,1018,5599,473
01-05-2020,HINDUJA,12951,2550,25,510,112200,1020,5610,471
01-06-2020,HINDUJA,12990,2500,25,500,110000,1000,5500,473
01-07-2020,HINDUJA,12436,2605,26,521,114620,1042,5731,448
01-08-2020,HINDUJA,15385,2725,27,545,119900,1090,5995,410
01-09-2020,HINDUJA,15850,2615,26,523,115060,1046,5753,456
01-10-2020,HINDUJA,11902,2800,28,560,123200,1120,6160,471
01-11-2020,HINDUJA,12343,2585,25,517,113740,1034,5687,362
01-12-2020,HINDUJA,11057,2555,25,511,112420,1022,5621,407
01-01-2021,HINDUJA,10639,2645,26,529,116380,1058,5819,382
01-02-2021,HINDUJA,13071,2415,24,483,106260,966,5313,353
01-03-2021,HINDUJA,13127,2800,28,560,123200,1120,6160,310
01-04-2021,HINDUJA,12695,2680,26,536,117920,1072,5896,417
01-05-2021,HINDUJA,10818,2640,26,528,116160,1056,5808,394
01-06-2021,HINDUJA,14157,2545,25,509,111980,1018,5599,540
01-07-2021,HINDUJA,12201,2510,25,502,110440,1004,5522,407
01-08-2021,HINDUJA,13095,2865,28,573,126060,1146,6303,393
01-09-2021,HINDUJA,12407,2635,26,527,115940,1054,5797,417
01-10-2021,HINDUJA,10922,2540,25,508,111760,1016,5588,289
01-11-2021,HINDUJA,9887,2505,25,501,110220,1002,5511,381
01-12-2021,HINDUJA,13656,2620,26,524,115280,1048,5764,356
01-01-2022,HINDUJA,12234,2720,27,544,119680,1088,5984,376
01-02-2022,HINDUJA,13849,2550,25,510,112200,1020,5610,333
01-03-2022,HINDUJA,11467,2680,26,536,117920,1072,5896,323
01-04-2022,HINDUJA,13198,2735,27,547,120340,1094,6017,339
01-05-2022,HINDUJA,13302,2770,27,554,121880,1108,6094,307
01-06-2022,HINDUJA,12215,2510,25,502,110440,1004,5522,347
01-07-2022,HINDUJA,13267,2630,26,526,115720,1052,5786,384
01-08-2022,HINDUJA,10110,2630,26,526,115720,1052,5786,346
01-09-2022,HINDUJA,13355,2495,24,499,109780,998,5489,437
01-10-2022,HINDUJA,14478,2600,26,520,114400,1040,5720,333
01-11-2022,HINDUJA,12218,2560,25,512,112640,1024,5632,324
01-12-2022,HINDUJA,12603,2640,26,528,116160,1056,5808,392
01-01-2023,HINDUJA,10729,2720,27,544,119680,1088,5984,302
01-02-2023,HINDUJA,12316,2480,24,496,109120,992,5456,286
01-03-2023,HINDUJA,13556,2680,26,536,117920,1072,5896,268
01-04-2023,HINDUJA,13093,2565,25,513,112860,1026,5643,281
01-05-2023,HINDUJA,13329,2620,26,524,115280,1048,5764,306
01-06-2023,HINDUJA,12400,2750,27,550,121000,1100,6050,366
01-07-2023,HINDUJA,11485,2575,25,515,113300,1030,5665,399
01-08-2023,HINDUJA,10566,2480,24,496,109120,992,5456,405
01-09-2023,HINDUJA,13910,2550,25,510,112200,1020,5610,385
01-10-2023,HINDUJA,11985,2695,26,539,118580,1078,5929,387
01-11-2023,HINDUJA,12977,2700,27,540,118800,1080,5940,406
01-12-2023,HINDUJA,11650,2625,26,525,115500,1050,5775,357
01-01-2024,HINDUJA,12772,2835,28,567,124740,1134,6237,363
01-02-2024,HINDUJA,11375,2480,24,496,109120,992,5456,367
01-03-2024,HINDUJA,13276,2515,25,503,110660,1006,5533,354
01-04-2024,HINDUJA,11646,2725,27,545,119900,1090,5995,310
01-05-2024,HINDUJA,12283,2590,25,518,113960,1036,5698,361
01-06-2024,HINDUJA,15327,2670,26,534,117480,1068,5874,377
01-07-2024,HINDUJA,12938,2630,26,526,115720,1052,5786,433
01-08-2024,HINDUJA,13951,2680,26,536,117920,1072,5896,354
01-09-2024,HINDUJA,10122,2515,25,503,110660,1006,5533,405
01-10-2024,HINDUJA,12251,2600,26,520,114400,1040,5720,357
01-11-2024,HINDUJA,11865,2715,27,543,119460,1086,5973,342
01-12-2024,HINDUJA,14625,2595,25,519,114180,1038,5709,382
01-01-2019,LILAVATI,5475,1506,10,251,45180,401,2510,145
01-02-2019,LILAVATI,4580,1494,9,249,44820,398,2490,150
01-03-2019,LILAVATI,4910,1548,10,258,46440,412,2580,154
01-04-2019,LILAVATI,6174,1482,9,247,44460,395,2470,129
01-05-2019,LILAVATI,5086,1512,10,252,45360,403,2520,156
01-06-2019,LILAVATI,4300,1458,9,243,43740,388,2430,149
01-07-2019,LILAVATI,5188,1428,9,238,42840,380,2380,181
01-08-2019,LILAVATI,5117,1392,9,232,41760,371,2320,165
01-09-2019,LILAVATI,4907,1458,9,243,43740,388,2430,153
01-10-2019,LILAVATI,5105,1458,9,243,43740,388,2430,129
01-11-2019,LILAVATI,4717,1512,10,252,45360,403,2520,161
01-12-2019,LILAVATI,5356,1482,9,247,44460,395,2470,122
01-01-2020,LILAVATI,5518,1368,9,228,41040,364,2280,157
01-02-2020,LILAVATI,4990,1434,9,239,43020,382,2390,184
01-03-2020,LILAVATI,5492,1596,10,266,47880,425,2660,157
01-04-2020,LILAVATI,4629,1518,10,253,45540,404,2530,186
01-05-2020,LILAVATI,4677,1458,9,243,43740,388,2430,216
01-06-2020,LILAVATI,5623,1470,9,245,44100,392,2450,172
01-07-2020,LILAVATI,3985,1422,9,237,42660,379,2370,186
01-08-2020,LILAVATI,5209,1560,10,260,46800,416,2600,197
01-09-2020,LILAVATI,5185,1542,10,257,46260,411,2570,183
01-10-2020,LILAVATI,5433,1446,9,241,43380,385,2410,210
01-11-2020,LILAVATI,4351,1434,9,239,43020,382,2390,155
01-12-2020,LILAVATI,4827,1488,9,248,44640,396,2480,161
01-01-2021,LILAVATI,4638,1500,10,250,45000,400,2500,118
01-02-2021,LILAVATI,5768,1464,9,244,43920,390,2440,166
01-03-2021,LILAVATI,5129,1428,9,238,42840,380,2380,124
01-04-2021,LILAVATI,5501,1518,10,253,45540,404,2530,175
01-05-2021,LILAVATI,4494,1410,9,235,42300,376,2350,172
01-06-2021,LILAVATI,4506,1524,10,254,45720,406,2540,233
01-07-2021,LILAVATI,4533,1464,9,244,43920,390,2440,134
01-08-2021,LILAVATI,4762,1512,10,252,45360,403,2520,166
01-09-2021,LILAVATI,4640,1368,9,228,41040,364,2280,153
01-10-2021,LILAVATI,4235,1488,9,248,44640,396,2480,148
01-11-2021,LILAVATI,5470,1368,9,228,41040,364,2280,124
01-12-2021,LILAVATI,5462,1482,9,247,44460,395,2470,139
01-01-2022,LILAVATI,5239,1494,9,249,44820,398,2490,151
01-02-2022,LILAVATI,4942,1416,9,236,42480,377,2360,116
01-03-2022,LILAVATI,5342,1494,9,249,44820,398,2490,105
01-04-2022,LILAVATI,5908,1506,10,251,45180,401,2510,132
01-05-2022,LILAVATI,5573,1458,9,243,43740,388,2430,122
01-06-2022,LILAVATI,4432,1434,9,239,43020,382,2390,172
01-07-2022,LILAVATI,4776,1488,9,248,44640,396,2480,144
01-08-2022,LILAVATI,4861,1524,10,254,45720,406,2540,184
01-09-2022,LILAVATI,4531,1488,9,248,44640,396,2480,164
01-10-2022,LILAVATI,4195,1476,9,246,44280,393,2460,148
01-11-2022,LILAVATI,5429,1584,10,264,47520,422,2640,151
01-12-2022,LILAVATI,5317,1470,9,245,44100,392,2450,150
01-01-2023,LILAVATI,5404,1428,9,238,42840,380,2380,142
01-02-2023,LILAVATI,5107,1404,9,234,42120,374,2340,163
01-03-2023,LILAVATI,5591,1470,9,245,44100,392,2450,137
01-04-2023,LILAVATI,5109,1398,9,233,41940,372,2330,136
01-05-2023,LILAVATI,6168,1542,10,257,46260,411,2570,147
